text,department
Broken electric wire at market area,Electricity
Suspicious people roaming in my street,Police
Doctors not available at hospital in village center,Medical
Cracks on main road at main road,Roads
Low water pressure at main road,Water
Drain cover missing in school area,Municipal
Uneven road surface in near bus stop,Roads
Broken electric wire at residential colony,Electricity
Water pipe burst in school area,Water
Cracks on main road at residential colony,Roads
Uneven road surface in main road,Roads
Ambulance not responding in market area,Medical
Sewage blockage at junction,Municipal
Low water pressure at junction,Water
Theft reported in junction,Police
Long waiting time at hospital in junction,Medical
Uneven road surface in near park,Roads
Incomplete road construction at main road,Roads
Water pipe burst in village center,Water
Overflowing dustbin at my street,Sanitation
Overflowing dustbin at residential colony,Sanitation
Electric pole sparks near market area,Electricity
Cracks on main road at near park,Roads
Incomplete road construction at residential colony,Roads
Garbage not collected near near park,Sanitation
Noise disturbance during night in hospital road,Police
Sanitation workers not cleaning my street,Sanitation
Poor hygiene in hospital at school area,Medical
Drain cover missing in main road,Municipal
Cracks on main road at school area,Roads
Sewage blockage at near bus stop,Municipal
Doctors not available at hospital in school area,Medical
Uneven road surface in near park,Roads
Sewage blockage at hospital road,Municipal
Open garbage causing bad smell in my street,Sanitation
Noise disturbance during night in market area,Police
Overflowing dustbin at hospital road,Sanitation
Overflowing dustbin at main road,Sanitation
Dirty water supplied at near bus stop,Water
Broken electric wire at near bus stop,Electricity
Poor hygiene in hospital at main road,Medical
Road damaged after rain at village center,Roads
Street light not working at near park,Electricity
Doctors not available at hospital in market area,Medical
Sanitation workers not cleaning hospital road,Sanitation
Uneven road surface in school area,Roads
Rainwater not draining properly in my street,Municipal
Broken electric wire at school area,Electricity
Doctors not available at hospital in main road,Medical
Low water pressure at my street,Water
Sewage blockage at my street,Municipal
Illegal activities happening in hospital road,Police
Doctors not available at hospital in near park,Medical
Frequent power cut in hospital road,Electricity
Frequent power cut in junction,Electricity
Electric pole sparks near school area,Electricity
Illegal activities happening in village center,Police
Suspicious people roaming in village center,Police
Frequent power cut in residential colony,Electricity
Broken electric wire at village center,Electricity
Uneven road surface in near park,Roads
Broken electric wire at residential colony,Electricity
Pothole on road near hospital road,Roads
Uneven road surface in near bus stop,Roads
Incomplete road construction at near park,Roads
Illegal activities happening in near bus stop,Police
Pothole on road near market area,Roads
Poor hygiene in hospital at hospital road,Medical
Uneven road surface in near bus stop,Roads
Dirty water supplied at hospital road,Water
Suspicious people roaming in school area,Police
Emergency services delayed in my street,Medical
Road damaged after rain at near bus stop,Roads
Broken electric wire at residential colony,Electricity
Transformer problem in hospital road,Electricity
Noise disturbance during night in market area,Police
Noise disturbance during night in main road,Police
Water leakage near market area,Water
Rainwater not draining properly in junction,Municipal
Dirty water supplied at school area,Water
Sanitation workers not cleaning near bus stop,Sanitation
Rainwater not draining properly in school area,Municipal
Rainwater not draining properly in near bus stop,Municipal
Waste dumped for many days at school area,Sanitation
Drain cover missing in main road,Municipal
Broken electric wire at junction,Electricity
Emergency services delayed in main road,Medical
Water pipe burst in my street,Water
Garbage not collected near residential colony,Sanitation
Noise disturbance during night in main road,Police
Suspicious people roaming in hospital road,Police
No water supply in school area,Water
Water pipe burst in residential colony,Water
Emergency services delayed in main road,Medical
Open garbage causing bad smell in near bus stop,Sanitation
Open garbage causing bad smell in hospital road,Sanitation
Drain cover missing in junction,Municipal
Noise disturbance during night in my street,Police
Frequent power cut in hospital road,Electricity
Theft reported in junction,Police
Water pipe burst in hospital road,Water
Electric pole sparks near main road,Electricity
Drain cover missing in near bus stop,Municipal
Broken electric wire at my street,Electricity
Drain cover missing in near park,Municipal
Dirty water supplied at near park,Water
Broken electric wire at school area,Electricity
Waste dumped for many days at residential colony,Sanitation
Poor hygiene in hospital at junction,Medical
No water supply in residential colony,Water
Cracks on main road at near park,Roads
Broken electric wire at market area,Electricity
Electric pole sparks near main road,Electricity
Transformer problem in residential colony,Electricity
Low water pressure at my street,Water
Noise disturbance during night in near bus stop,Police
Transformer problem in junction,Electricity
Broken electric wire at my street,Electricity
Low water pressure at school area,Water
Doctors not available at hospital in my street,Medical
Doctors not available at hospital in main road,Medical
Dirty water supplied at junction,Water
Doctors not available at hospital in near park,Medical
Water leakage near junction,Water
Drain cover missing in junction,Municipal
Pothole on road near junction,Roads
Open garbage causing bad smell in market area,Sanitation
Incomplete road construction at residential colony,Roads
Traffic violations reported in junction,Police
Uneven road surface in school area,Roads
Doctors not available at hospital in market area,Medical
Emergency services delayed in main road,Medical
Overflowing dustbin at school area,Sanitation
Illegal activities happening in near bus stop,Police
No water supply in hospital road,Water
Overflowing dustbin at market area,Sanitation
Frequent power cut in main road,Electricity
Sewage blockage at market area,Municipal
Traffic violations reported in hospital road,Police
Garbage not collected near junction,Sanitation
Sewage blockage at near bus stop,Municipal
Broken electric wire at my street,Electricity
Overflowing dustbin at hospital road,Sanitation
Sewage blockage at residential colony,Municipal
Waste dumped for many days at near bus stop,Sanitation
Water pipe burst in village center,Water
Open garbage causing bad smell in hospital road,Sanitation
Road damaged after rain at main road,Roads
Suspicious people roaming in school area,Police
Open garbage causing bad smell in my street,Sanitation
Open manhole near junction,Municipal
Pothole on road near main road,Roads
Road damaged after rain at market area,Roads
Cracks on main road at hospital road,Roads
Theft reported in main road,Police
Open garbage causing bad smell in school area,Sanitation
Road damaged after rain at my street,Roads
Emergency services delayed in main road,Medical
Noise disturbance during night in hospital road,Police
Pothole on road near market area,Roads
Suspicious people roaming in school area,Police
Electric pole sparks near village center,Electricity
Long waiting time at hospital in hospital road,Medical
No water supply in school area,Water
Open manhole near near park,Municipal
Uneven road surface in school area,Roads
Long waiting time at hospital in hospital road,Medical
Suspicious people roaming in near bus stop,Police
Emergency services delayed in school area,Medical
Frequent power cut in market area,Electricity
Dirty water supplied at near park,Water
No water supply in near park,Water
Traffic violations reported in market area,Police
Drainage overflow in school area,Municipal
Theft reported in main road,Police
Incomplete road construction at hospital road,Roads
Doctors not available at hospital in village center,Medical
Garbage not collected near residential colony,Sanitation
Low water pressure at main road,Water
Doctors not available at hospital in village center,Medical
Electric pole sparks near residential colony,Electricity
Broken electric wire at residential colony,Electricity
Frequent power cut in village center,Electricity
Pothole on road near my street,Roads
Doctors not available at hospital in main road,Medical
Drain cover missing in my street,Municipal
Doctors not available at hospital in near bus stop,Medical
Drainage overflow in my street,Municipal
Sanitation workers not cleaning near bus stop,Sanitation
Water leakage near hospital road,Water
Theft reported in hospital road,Police
Uneven road surface in main road,Roads
Road damaged after rain at main road,Roads
Open manhole near school area,Municipal
Road damaged after rain at junction,Roads
Low water pressure at village center,Water
Pothole on road near main road,Roads
Noise disturbance during night in near park,Police
Dirty water supplied at near bus stop,Water
Doctors not available at hospital in near park,Medical
Ambulance not responding in school area,Medical
Incomplete road construction at residential colony,Roads
Transformer problem in residential colony,Electricity
Transformer problem in market area,Electricity
Open garbage causing bad smell in school area,Sanitation
Garbage not collected near hospital road,Sanitation
Emergency services delayed in junction,Medical
Open garbage causing bad smell in hospital road,Sanitation
Transformer problem in residential colony,Electricity
Water pipe burst in near bus stop,Water
